,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Adj Close
0,2022-10-03,138.2100067138672,143.07000732421875,137.69000244140625,142.4499969482422,114311700.0,0.0,0.0,AAPL,
1,2022-10-04,145.02999877929688,146.22000122070312,144.25999450683594,146.10000610351562,87830100.0,0.0,0.0,AAPL,
2,2022-10-05,144.07000732421875,147.3800048828125,143.00999450683594,146.39999389648438,79471000.0,0.0,0.0,AAPL,
3,2022-10-06,145.80999755859375,147.5399932861328,145.22000122070312,145.42999267578125,68402200.0,0.0,0.0,AAPL,
4,2022-10-07,142.5399932861328,143.10000610351562,139.4499969482422,140.08999633789062,85859100.0,0.0,0.0,AAPL,
0,2022-10-03,235.41000366210938,241.61000061035156,234.66000366210938,240.74000549316406,28880400.0,0.0,0.0,MSFT,
1,2022-10-04,245.08999633789062,250.36000061035156,244.97999572753906,248.8800048828125,34888400.0,0.0,0.0,MSFT,
2,2022-10-05,245.99000549316406,250.5800018310547,244.10000610351562,249.1999969482422,20347100.0,0.0,0.0,MSFT,
3,2022-10-06,247.92999267578125,250.33999633789062,246.0800018310547,246.7899932861328,20239900.0,0.0,0.0,MSFT,
4,2022-10-07,240.89999389648438,241.32000732421875,233.1699981689453,234.24000549316406,37732400.0,0.0,0.0,MSFT,
0,2022-10-03,97.22000122070312,99.97000122070312,97.0199966430664,99.30000305175781,24840000.0,0.0,0.0,GOOG,
1,2022-10-04,101.04000091552734,102.72000122070312,101.04000091552734,102.41000366210938,22580900.0,0.0,0.0,GOOG,
2,2022-10-05,100.69000244140625,102.73999786376953,99.73999786376953,102.22000122070312,18475500.0,0.0,0.0,GOOG,
3,2022-10-06,101.5,103.7300033569336,101.5,102.23999786376953,17156200.0,0.0,0.0,GOOG,
4,2022-10-07,100.6500015258789,101.41999816894531,99.20999908447266,99.56999969482422,24232300.0,0.0,0.0,GOOG,
0,2022-10-03,113.58000183105469,116.91000366210938,112.44999694824219,115.87999725341797,50941900.0,0.0,0.0,AMZN,
1,2022-10-04,119.88999938964844,123.0,119.79000091552734,121.08999633789062,62812600.0,0.0,0.0,AMZN,
2,2022-10-05,118.58000183105469,121.75,117.69000244140625,120.94999694824219,48217500.0,0.0,0.0,AMZN,
3,2022-10-06,120.7699966430664,121.52999877929688,119.5,120.30000305175781,42253800.0,0.0,0.0,AMZN,
4,2022-10-07,118.0,118.16999816894531,113.87999725341797,114.55999755859375,54626400.0,0.0,0.0,AMZN,
0,2022-10-03,254.5,255.16000366210938,241.00999450683594,242.39999389648438,98363500.0,0.0,0.0,TSLA,
1,2022-10-04,250.52000427246094,257.5,242.00999450683594,249.44000244140625,109578500.0,0.0,0.0,TSLA,
2,2022-10-05,245.00999450683594,246.6699981689453,233.27000427246094,240.80999755859375,86982700.0,0.0,0.0,TSLA,
3,2022-10-06,239.44000244140625,244.5800018310547,235.35000610351562,238.1300048828125,69298400.0,0.0,0.0,TSLA,
4,2022-10-07,233.94000244140625,234.57000732421875,222.02000427246094,223.07000732421875,83592300.0,0.0,0.0,TSLA,
0,2022-10-03,137.13999938964844,139.6199951171875,136.10000610351562,138.61000061035156,27723100.0,0.0,0.0,META,
1,2022-10-04,140.49000549316406,142.38999938964844,139.33999633789062,140.27999877929688,34670700.0,0.0,0.0,META,
2,2022-10-05,138.24000549316406,140.2100067138672,134.77999877929688,138.97999572753906,27979300.0,0.0,0.0,META,
3,2022-10-06,137.72000122070312,141.4499969482422,136.60000610351562,139.07000732421875,36231100.0,0.0,0.0,META,
4,2022-10-07,136.75999450683594,138.2899932861328,132.44000244140625,133.4499969482422,33179700.0,0.0,0.0,META,
0,2022-10-03,68.08000183105469,69.56999969482422,67.6500015258789,69.25,11945100.0,0.0,0.0,TSM,
1,2022-10-04,70.80000305175781,72.93000030517578,70.72000122070312,72.80999755859375,14900700.0,0.0,0.0,TSM,
2,2022-10-05,72.91999816894531,74.91000366210938,72.58000183105469,74.4800033569336,14037100.0,0.0,0.0,TSM,
3,2022-10-06,73.97000122070312,74.91999816894531,73.86000061035156,74.3499984741211,11796800.0,0.0,0.0,TSM,
4,2022-10-07,71.80999755859375,72.02999877929688,69.75,69.75,14754900.0,0.0,0.0,TSM,
0,2022-10-03,123.47000122070312,126.77999877929688,121.05000305175781,125.12000274658203,54747800.0,0.0,0.0,NVDA,
1,2022-10-04,128.7899932861328,132.1999969482422,128.7899932861328,131.6699981689453,58418200.0,0.0,0.0,NVDA,
2,2022-10-05,129.11000061035156,133.2100067138672,126.20999908447266,132.08999633789062,50713100.0,0.0,0.0,NVDA,
3,2022-10-06,132.1999969482422,136.55999755859375,131.02999877929688,131.3000030517578,64415700.0,0.0,0.0,NVDA,
4,2022-10-07,125.05000305175781,126.69999694824219,120.22000122070312,120.76000213623047,67168900.0,0.0,0.0,NVDA,
0,2022-10-03,33.540000915527344,33.939998626708984,33.47999954223633,33.79999923706055,2339100.0,0.0,0.0,TCEHY,
1,2022-10-04,34.5,35.470001220703125,34.349998474121094,35.310001373291016,3995900.0,0.0,0.0,TCEHY,
2,2022-10-05,35.20000076293945,35.470001220703125,34.810001373291016,35.209999084472656,1896300.0,0.0,0.0,TCEHY,
3,2022-10-06,35.29999923706055,35.709999084472656,35.150001525878906,35.150001525878906,2516900.0,0.0,0.0,TCEHY,
4,2022-10-07,34.11000061035156,34.4900016784668,33.560001373291016,33.7599983215332,2221500.0,0.0,0.0,TCEHY,
0,2022-09-30,52300.0,53600.0,51800.0,53100.0,22503249.0,0.0,0.0,005930.KS,
